,,,,,,,,,"Survey","Participant","Question 1"
,,,,,,,,,,"Question Text","Thank you for completing the Mind Wandering Assessment portion of our experiment!Below is the link to the final survey which should take about 15-20 minutes to complete. You must complete the final survey within the next 2 days to receive the $4 bonus. Note: If you have already completed the final survey, please disregard this message.https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=ExpiwellId"
,,,,,,,,,,"Response Type","Instruction"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Finished","Participant ID","Location - Lat","Location - Long","No Login","ip address","Choices",
"05/04/2024 02:22AM","05/04/2024 02:22AM","05/03/2024 09:00PM - 05/05/2024 12:00PM",13.851,"Yes","662c23eb984be5dc85b1f907",,,"no","10.191.173.36","Participant 37","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=662c23eb984be5dc85b1f907"
"05/05/2024 12:25PM","05/05/2024 12:25PM","05/05/2024 12:00PM - 05/05/2024 11:59PM",7.947,"Yes","662c1a3e984be5dc85b1ac7c",,,"no","100.117.134.154","Participant 38","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=662c1a3e984be5dc85b1ac7c"
"05/09/2024 09:25PM","05/09/2024 09:25PM","05/09/2024 09:00PM - 05/11/2024 12:00PM",11.668,"Yes","6633d9a6d05d24da8bf2f215",,,"no","192.168.86.248","Participant 39","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6633d9a6d05d24da8bf2f215"
"05/11/2024 12:00PM","05/11/2024 12:00PM","05/11/2024 12:00PM - 05/11/2024 11:59PM",10.681,"Yes","6633d9a6d05d24da8bf2f215",,,"no","192.168.86.248","Participant 39","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6633d9a6d05d24da8bf2f215"
"05/09/2024 09:00PM","05/09/2024 09:00PM","05/09/2024 09:00PM - 05/11/2024 12:00PM",7.389,"Yes","663413e56d0b687e4df00efd","0.0","0.0","no","2600:100b:1115:1f7e:8837:ab20:cad9:3a1c","Participant 40",
"05/11/2024 12:10PM","05/11/2024 12:10PM","05/11/2024 12:00PM - 05/11/2024 11:59PM",4.568,"Yes","663413e56d0b687e4df00efd","0.0","0.0","no","fd67:fdc8:8eb2:dd4c:c1f:35fd:83d3:ff50","Participant 40",
"05/13/2024 09:02PM","05/13/2024 09:03PM","05/13/2024 09:00PM - 05/15/2024 12:00PM",20.599,"Yes","66394fd7442523ed8761623e",,,"no","192.168.4.28","Participant 42","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=66394fd7442523ed8761623e"
"05/14/2024 10:41PM","05/14/2024 10:41PM","05/14/2024 09:00PM - 05/16/2024 12:00PM",23.214,"Yes","66312194984be5dc85d0715e","0.0","0.0","no","2600:1014:113e:a0b3:31dc:72a0:3f3:b451","Participant 43",
"05/16/2024 12:00PM","05/16/2024 12:00PM","05/16/2024 12:00PM - 05/16/2024 11:59PM",15.715,"Yes","66312194984be5dc85d0715e","0.0","0.0","no","192.168.1.12","Participant 43",
"05/14/2024 09:12PM","05/14/2024 09:12PM","05/14/2024 09:00PM - 05/16/2024 12:00PM",7.545,"Yes","663a54d2442523ed87656159","0.0","0.0","no","10.174.189.168","Participant 45",
"05/16/2024 12:07PM","05/16/2024 12:08PM","05/16/2024 12:00PM - 05/16/2024 11:59PM",17.001,"Yes","663a54d2442523ed87656159","0.0","0.0","no","10.174.189.168","Participant 45",
"05/15/2024 11:31PM","05/15/2024 11:32PM","05/15/2024 09:00PM - 05/17/2024 12:00PM",36.511,"Yes","6634a747442523ed875237c9",,,"no","10.186.207.107","Participant 46","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6634a747442523ed875237c9"
"05/17/2024 12:30PM","05/17/2024 12:30PM","05/17/2024 12:00PM - 05/17/2024 11:59PM",21.265,"Yes","6634a747442523ed875237c9",,,"no","172.16.0.2","Participant 46","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6634a747442523ed875237c9"
"05/14/2024 09:02PM","05/14/2024 09:03PM","05/14/2024 09:00PM - 05/16/2024 12:00PM",20.402,"Yes","663a507e390031c62139088b","0.0","0.0","no","2601:404:cb83:9b80::18a3","Participant 47",
"05/16/2024 12:02PM","05/16/2024 12:02PM","05/16/2024 12:00PM - 05/16/2024 11:59PM",11.532,"Yes","663a507e390031c62139088b","0.0","0.0","no","2601:404:cb83:9b80::18a3","Participant 47",
"05/14/2024 09:02PM","05/14/2024 09:02PM","05/14/2024 09:00PM - 05/16/2024 12:00PM",20.532,"Yes","663a4d52390031c62138f480","0.0","0.0","no","192.168.1.150","Participant 48",
"05/16/2024 12:00PM","05/16/2024 12:00PM","05/16/2024 12:00PM - 05/16/2024 11:59PM",9.537,"Yes","663a4d52390031c62138f480","0.0","0.0","no","192.168.1.150","Participant 48",
"05/16/2024 10:05AM","05/16/2024 10:06AM","05/15/2024 09:00PM - 05/17/2024 12:00PM",48.28,"Yes","663aab67390031c6213afec3","0.0","0.0","no","2607:fc20:3f5f:a3a8:b0be:35a2:3dae:4148","Participant 49",
"05/15/2024 11:32PM","05/15/2024 11:32PM","05/15/2024 09:00PM - 05/17/2024 12:00PM",13.412,"Yes","663a9518390031c6213a93b9",,,"no","192.168.1.82","Participant 50","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663a9518390031c6213a93b9"
"05/17/2024 06:34PM","05/17/2024 06:34PM","05/17/2024 12:00PM - 05/17/2024 11:59PM",16.232,"Yes","663a9518390031c6213a93b9",,,"no","192.168.211.61","Participant 50","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663a9518390031c6213a93b9"
"05/16/2024 09:18AM","05/16/2024 10:04AM","05/15/2024 09:00PM - 05/17/2024 12:00PM",2750.666,"Yes","663bb654390031c6213ff420",,,"no","172.20.10.3","Participant 51","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663bb654390031c6213ff420"
"05/17/2024 01:49PM","05/17/2024 01:49PM","05/17/2024 12:00PM - 05/17/2024 11:59PM",11.973,"Yes","663bb654390031c6213ff420",,,"no","192.168.0.118","Participant 51","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663bb654390031c6213ff420"
"05/17/2024 01:30PM","05/17/2024 01:30PM","05/17/2024 12:00PM - 05/17/2024 11:59PM",7.698,"Yes","663be870442523ed876d25df",,,"no","192.0.0.2","Participant 52","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663be870442523ed876d25df"
"05/16/2024 09:32PM","05/16/2024 09:32PM","05/16/2024 09:00PM - 05/18/2024 12:00PM",11.078,"Yes","663c2daa442523ed876f0873","0.0","0.0","no","2600:1702:1610:c5f0::46","Participant 53",
"05/18/2024 12:28PM","05/18/2024 12:28PM","05/18/2024 12:00PM - 05/18/2024 11:59PM",10.259,"Yes","663c2daa442523ed876f0873","0.0","0.0","no","2600:1702:1610:c5f0::3e","Participant 53",
"05/17/2024 09:07PM","05/17/2024 09:07PM","05/17/2024 09:00PM - 05/19/2024 12:00PM",21.205,"Yes","663e3160390031c6214b9c6d",,,"no","10.5.116.9","Participant 55","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663e3160390031c6214b9c6d"
"05/19/2024 12:02PM","05/19/2024 12:02PM","05/19/2024 12:00PM - 05/19/2024 11:59PM",6.617,"Yes","663e3160390031c6214b9c6d",,,"no","192.168.1.109","Participant 55","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663e3160390031c6214b9c6d"
"05/17/2024 09:00PM","05/17/2024 09:00PM","05/17/2024 09:00PM - 05/19/2024 12:00PM",12.136,"Yes","663e5d89390031c6214ce390","0.0","0.0","no","192.168.1.18","Participant 57",
"05/19/2024 05:38PM","05/19/2024 05:38PM","05/19/2024 12:00PM - 05/19/2024 11:59PM",7.997,"Yes","663e5d89390031c6214ce390","0.0","0.0","no","192.168.1.18","Participant 57",
"05/18/2024 11:27AM","05/18/2024 11:28AM","05/17/2024 09:00PM - 05/19/2024 12:00PM",37.164,"Yes","663e4916442523ed87787cf4",,,"no","10.40.160.179","Participant 58","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663e4916442523ed87787cf4"
"05/19/2024 01:51AM","05/19/2024 01:51AM","05/18/2024 09:00PM - 05/20/2024 12:00PM",13.533,"Yes","663e6001390031c6214cf2b0",,,"no","172.16.0.2","Participant 59","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663e6001390031c6214cf2b0"
"05/20/2024 01:01PM","05/20/2024 01:01PM","05/20/2024 12:00PM - 05/20/2024 11:59PM",17.114,"Yes","663e6001390031c6214cf2b0",,,"no","172.16.0.2","Participant 59","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663e6001390031c6214cf2b0"
"05/22/2024 12:14PM","05/22/2024 12:24PM","05/22/2024 12:00PM - 05/22/2024 11:59PM",584.677,"Yes","663bafb9390031c6213fcd13",,,"no","10.142.249.38","Participant 60","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=663bafb9390031c6213fcd13"
"05/22/2024 02:39AM","05/22/2024 02:39AM","05/21/2024 09:00PM - 05/23/2024 12:00PM",22.139,"Yes","6642bddb442523ed878d8c05",,,"no","192.168.0.5","Participant 61","https://adelphiderner.qualtrics.com/jfe/form/SV_3JfpYVRIhGVcv6S?EID=6642bddb442523ed878d8c05"
